Cluster Name,Frequency,Questions Count,Questions
Requesting and obtaining records,1,1,If you call your get a record
Graduate application fee waivers,1,1,Can i get a graduate application fee waiver
Issues with two-factor authentication (2FA) not working,1,1,Mfa not working
Master's programs in law,1,1,Do you have master of international business law
Being an incoming freshman,1,1,But i am an undergraduate incoming freshman
Locating the online bookstore,1,1,How do i find the online bookstore
Finance major and courses,1,1,Finance major
Issues with logging in as an authorized payer,1,1,Trying to pay my daughters bill but dont have password
Locating and accessing a 1098T form,1,1,Sorry to bother you i have a question
Canceling an application,1,1,How do i cancel an application
Changing the verification method or number,1,1,Change verification information
Mail room hours and services during breaks,1,1,Winter break mail room hours of operation
Contacting the President's office,1,1,What is the number for the office of the president
Changing to a commuter status,1,1,How to switch to commuter
Computer repair services,1,1,I need to get my computer fixed
Identifying individuals,1,1,Who is that
Campus rules and regulations,1,1,On campus
Fast track programs and accelerating program completion,1,1,Fast track program
Forgotten ID and PIN Issues,1,1,I dont have id or pin
Atomic Mass Unit (AMU),1,1,Um
Payment options and methods,1,1,Payment options
Obtaining a student ID,1,1,Where do i get a student id
Transcript evaluation for international students,1,1,Do you require international transfer students to have an evaluation service evaluate transcripts transfer
Number of students on campus,1,1,What is the campus life how many students would you say are present on the campus
Checking the status of a mailed check or form,1,1,Status checker
Summer activities and plans,1,1,Im asking about winter semester
Closing the chat or chat box,1,1,Close this chat
Waiving school health insurance,1,1,Waive healthcare with school
Office hours and contacting the office,1,1,What are u office hours in which i can call
Disability accommodations,1,1,Consulting disabilities services for accommodation
Changing registered classes or semester for course registration,1,1,Can i change my registered classes
Applying to physician assistant schools,1,1,When do applications open for physician assistant program
Paying enrollment fees and confirming enrollment for a student,1,1,Im trying to pay the admission fee for my son who was accepted at st johns
Scheduling visits and tours,1,1,Hi where can i find the calendar to plan a visit
Obtaining and installing Adobe software,1,1,How do we get adobe
Accelerated Physician Assistant Program,1,1,Do you offer an accelerated pa program
Freshman dormitory requirements,1,1,Do undergraduate students need to dorm
Catholic Scholars Program,1,1,Interested in catholic scholars program
URL for career center websites,1,1,Where can i find the whole career services website
Masters in Accounting program information,1,1,I want to know about masters in accounting course
Viewing the spring class schedule,1,1,Hi want to see spring schedule of classes for the education department
Spring 2023 graduation/commencement date,1,1,What day is graduation falls in the spring of may 2024
Submitting an i20 request,1,1,Do i have to submit my financial statement for i 20 during my application
Admissions requirements and GPA acceptance criteria,1,1,What is the lowest accepting gpa
Choosing classes for next semester,1,1,Where can i pick my classes for my next semester
Pursuing a master's degree,1,1,Im looking for an onlime masters or mba in risk
Finding and accessing personal address information,1,1,How can i access my address information
IELTS score requirements for international students,1,1,What is minimum score for tofle or ielts for international students
Graduation tuition fees,1,1,Graduation tuition for the year
Submitting a document or form,1,1,How do i submit news
Accessing the Wall Street Journal,1,1,How to get access to wall street journal
Forgot password and being locked out of an account,1,1,I cant log into my account i miswrote my password and now im locked out
PhD program in psychology,1,1,I want to learn about the phd program in psychology
Eligibility of international students for need-based financial aid,1,1,Do the international students get need based financial aid
Timing of the next event or occurrence,1,1,Whens the next one
Paying bills over the phone,1,1,Who to call to pay bill over phone
First-year student login process,1,1,What is my sign on password as a first year student
Marine Corps and military service,1,1,Mar
Word count and length requirements for college essays,1,1,How many words must my college essay be
Accessing wifi on campus,1,1,How do i log onto the campus wifi
Title IX Coordinator Information,1,1,Title ix coordinator
Cost of undergraduate credits,1,1,How much is per credit hour as an undergraduate
St. George's University in Grenada,1,1,St georges medical school
Obtaining a registration pin for class registration,1,1,I need a pin for class registration
Google Workspace administration and features,1,1,Google workspace
Graduate degree programs offered by a school,1,1,Do you have graduate degrees
Physical exam requirements for incoming freshmen,1,1,Are incoming freshman required to submit an annual physical exam
Availability of cafeterias on campus,1,1,Are there cafeterias on campus
Coverage of summer courses by scholarships,1,1,Hi i just have a quick question i currently have a scholarship does the scholarship also cover summer courses
Adding an email address,1,1,How do i add my email
No holds on account,1,1,No holds
Pursuing a degree in psychology,1,1,Highest degree for psychology
Creating a freshman class schedule,1,1,How do i get my schedule as an incoming freshman
Obtaining unofficial transcripts,1,1,Where do i get unofficial transcripts as a high school student
Contacting the service desk,1,1,Could you give me the mail adress of the service desk
Application fees and costs,1,1,Application cost
Inclusions in room and board fees,1,1,What is included in the room price
Locating the course catalog,1,1,Want to see course bulletin
Contacting Veterans Services,1,1,Can i chat with someone in the veteran office
Essay prompts and topics,1,1,Essay questions
Paying after the deadline,1,1,Is there any acception to pay after the deadline
Password reset for accessing student accounts and retrieving tax forms,1,1,I need to reset password to recover phone contacts but graduated in 2020
Physiotherapy and physiotherapist,1,1,Physiotherapy
Being locked out of Outlook account,1,1,Locked out from outlook
Internships and internship information,1,1,Regarding the internship for 1 month
Important dates in April and May,1,1,April 2nd
Cost of the EDD program,1,1,Hello what is the total cost for your edd program
LSAC (Law School Admission Council) and its services,1,1,What is lsac
Financial Aid Office Hours on Labor Day,1,1,Is the financial aid center open on labor day
Dealing with failing a class,1,1,Failed class second time
Applying for the spring 2020 semester,1,1,How do i apply for the spring 2023 semester
Enrollment limits for winter classes,1,1,How many classes can i take in the winter
Deleting an application,1,1,How to delete application
Changes made to a certain item or document,1,1,I had to change it
Downloading Respondus software,1,1,Download respondus
Freshman status in undergraduate education,1,1,This is for upcoming undergrad freshmen year
Gender composition of the school,1,1,Is this an all boys school
Accessing and logging into Focus 2,1,1,How do i login to focus 2
Fees for transfer students,1,1,What is the fees structur for the transfer student
Meeting deadlines,1,1,I wanted to ask about deadlines
Accessing databases,1,1,How do i access databases
Questions about degrees,1,1,I wanted to ask about a degree
Trouble with password and ID retrieval,1,1,I dont know my password or id
Lack of response from office phone calls,1,1,Im calling the office no answer
Locating the help desk,1,1,Where is the helpdesk
Permission issues or access restrictions,1,1,It says that i dont have permission to perform the requested action
Account termination notification emails,1,1,Email termination
Including information in an email,1,1,What do i include in emails
Creating a profile,1,1,Create my profile
Speaking with a financial advisor,1,1,Can i speak to a financial advisor
College essay assistance and guidance,1,1,Write me a college essay
Being locked out of an online platform or account,1,1,I was locked out
Building maintenance and repair,1,1,Building maintenance
Parents' income and taxes,1,1,What about parent taxes
Location of sports teams' games and practices,1,1,Where does the mens basketball team play
Obtaining an enrollment verification letter,1,1,Need a letter of verification enrollment
Overnight campus visits for prospective students,1,1,Hello i am an accepted student are there any overnight visits available
Employment opportunities at St. John's University,1,1,Job at st johns
Checking the status of webmail and mail servers,1,1,Is webmail down
Dual enrollment credits and their transferability,1,1,I have a question about the dual enrollment courses for college credits
Enrolling in a nursing program,1,1,I want to enroll in nursing
IT services,1,1,It servcies
Creating a user ID for NJIT (New Jersey Institute of Technology),1,1,How do i create a user id
Obtaining a copy of a transcript,1,1,Transcript copy
Logging in to Canvas assistance,1,1,Need help logging in to canvas
Dance teams and auditions,1,1,Dance team
Next steps after being accepted to a university or college,1,1,What does the process for a transfer student look like in terms of applying for spring 2024
Degree program inquiries,1,1,I have question about the degree programs
Issues with two-step verification,1,1,I am not getting two step verfication
Assistantships,1,1,Assistantships
MBA application fees,1,1,Application fee for mba
Identification numbers,1,1,How many numbers should my id be
MBA in Business Analytics,1,1,Hi i am an international student from dhaka bnagladesh i want to do my mba in business analytics can u pls give me answers of some queries
Student discounts and available offers,1,1,Where can i get student discounts
Contacting the administrators via email,1,1,Contact admin email
Accessing the parent portal,1,1,What is the website of the parent portal
Trouble logging into a newly created account,1,1,Not letting me login to my new account
Issues with logging in to various training platforms,1,1,I am required to take a cybersecurity training course and continue to get an error message when i try to sign in
Being locked out of SJU (Saint Joseph's University) accounts,1,1,I want to know how to unlock my account for my sju
Connecting personal laptop to campus wifi,1,1,How do i access mobile wifi as a student
Due date for the first tuition payment,1,1,When is the first payment for tuition due
GRE and GMAT score waivers,1,1,Gre or gmat waiver
Applying to high school,1,1,How can i apply to this highschool
Role and responsibilities of the registrar,1,1,What is the office of the registrar do
Late fees and interest for tuition payments,1,1,Will i get charged a late fee if i pay my tuition the day that it is due
Contacting the IT help desk,1,1,It service desk number
Making tuition payments by check,1,1,Who do i make the check out to for paying for classes
Submitting a change of major form,1,1,Where do i submit a request form to change my major
Auditing classes or courses,1,1,Can i audit a law school class
Cost of attendance for transfer students,1,1,How much would the cost to attend be as a transfer student who needs to dorm
Checking and accessing scholarships,1,1,I want to check on my previous scholarship award
Health insurance for graduate assistants and research assistants,1,1,What are health insurance benefits for graduate assistants
Changing or updating a phone number,1,1,How can i change my number
Finding the academic calendar for a specific semester,1,1,Where is the academic calendar for fall 2023
Locating Student Affairs Office,1,1,Where is student affairs located
Applying for admission for the spring semester,1,1,It only allows me to apply for fall 2024 how do i apply for spring 2023
Parental inquiries about financial aid,1,1,I am a parent inquiring about financial aid
Non-student employment opportunities,1,1,Not student worker regular job openings
Start date of spring 2023 classes,1,1,When does spring 2024 classes start
Locating or finding a school,1,1,Where do i find my school
Making tuition payments with a card,1,1,How can i pay with a debit card my tuition
Mailing instructions and guidelines,1,1,Mailing instructions
Calculating square roots,1,1,Square root of 4
Volunteer opportunities,1,1,What volunteer opportunities are available
Troubleshooting issues with Examplify login and usage,1,1,My examplify isnt working
Start date and establishment of law school,1,1,Start date for the law school
IGCSE requirements for college applications,1,1,What about igcse o level
NJ Transit Discount Programs,1,1,Nj transit discount
Shuttle bus transportation,1,1,Shuttle bus
Checking and accessing information about a meal plan,1,1,How can i check my meal plan
Baseball teams and related topics,1,1,Baseball team
Completing a wellness survey,1,1,I am scheduled to attend an expo tonight how do you complete the wellness survey
Pet-friendly housing options,1,1,Do any of the housing options allow pets
Scholarships for international students,1,1,I want to know about the scolarships to non us students
Requesting a copy of a degree,1,1,Request copy of degree
Changing or switching campuses,1,1,How do i change my preferred campus if im already accepted to one
Undecided/Undeclared major,1,1,Im undecided
Special education services and department,1,1,Special education
Start dates for undergraduate semesters,1,1,When does the fall semester start for undergrad
Locked login or account access,1,1,User login is locked
Operating hours and schedules,1,1,What are normal hours
Availability of occupational therapy at a specific institution,1,1,Does this university of occupational therapy
Office closure,1,1,No one answers says office closed
Enrollment requirements for a specific program,1,1,What requirements do i need to attend this program
Greek life on campus,1,1,Whats greek life like on campus
Work experience requirements for program/application,1,1,Can i apply for this program with work experience
Counting numbers,1,1,6
Applying for graduate student housing,1,1,Graduate housing application
Registering for credit classes,1,1,Where do i register for college credit course
Admission fee waivers and waiver process,1,1,I need a waiver for my admission
Start dates for MBA programs,1,1,When is the earliest i can start the mba program
Website homepage and URL,1,1,Can you link me their homepage
Work study and its application towards tuition,1,1,D you know if the work study program counts towards tuition
Master's in Taxation Program Curriculum,1,1,Master in taxation course
Obtaining football tickets,1,1,How to get tickets for a home game
Checking out books from a library,1,1,How to checkout books
Availability of business management courses,1,1,Do you have business management class
Student email login and information,1,1,Student email log in
Course codes and class codes,1,1,Course code
TOEFL requirements for international students,1,1,Do international students need to submit toefl exam scores
Contacting student finance via email,1,1,Student finance email
Course waivers and the concept of waiving courses,1,1,Free waivers
Men's basketball coaching and management,1,1,Basketball coach
SMTP server configuration and settings,1,1,What is the smtp server address
Setting up and managing student loans,1,1,How do i setup a student loan
Student insurance and coverage,1,1,Student insurance
Prospective students,1,1,Prospective
School/college operating hours on weekends,1,1,Is school open on saturday
Missed deadline for housing application,1,1,What should i do if i missed the housing application deadline
Common Data Set Information,1,1,Common data set
Trouble logging in with provided user ID and password,1,1,I have logged into my account before and made a password but despite the password being right i am still unable to sign on
Eligibility for masters programs,1,1,Is here accept moi for international student in masters program
Logging into faculty email,1,1,How can i sign in i am a new instructor at the univeristy
Foreign transcript evaluation for international students,1,1,How can get the foreign transcript evaluation report
Registering for classes and meeting with an advisor,1,1,Does a new student have to make an appointment with their advisor in order to have their classes registered or is that not necessary
"Cost of tuition, room, and board at a university",1,1,How much is the tuition including room and board for 4 years
Enrolling in college or school,1,1,I am intersted in going back to school for education
Issues with student account passwords,1,1,My new student preset signon password is not working
Submitting missing documents,1,1,How do i submit my missing documents
Availability of soccer at a specific location or institution,1,1,Does the school offer soccer
MBA in Finance and related degrees,1,1,Mba in finance
Accessing and entering an account,1,1,How to access my account
Studying on campus,1,1,I want to study on campus
Center for Teaching and Learning/Office of Teaching and Learning,1,1,Ctle
Creating and Accessing SJU Email Accounts,1,1,How to make a sju email
Email password assistance,1,1,I have an issue with password and the email
Converting percentage grades to letter grades,1,1,What is letter grade vs percent grade
Minimum and maximum grades in various contexts,1,1,Whats the minimum grade you can receive in courses
Sending official high school transcripts,1,1,I took college credit courses while in high school and need the officail transcript
Finding the summer course catalog,1,1,Do you offer a course catalog for summer courses
UW and UWW - meaning and definition,1,1,What does uw mean
Housing options for spring semesters,1,1,Housing for spring 2024
Unable to view holds on student account,1,1,I cant view my holds on uis
Minimum wage,1,1,What is minimum wage
Payment of tuition fees per semester,1,1,Do i have to pay my tuition every semester or every year
Applying for graduation,1,1,Do we need to apply for graduation
Work Study Acceptance Confirmation,1,1,How do i know if i got accepted to work study
Requesting and obtaining a computer or laptop,1,1,Laptop request faculty form
Submitting an IT ticket,1,1,How to submit an it ticket
Course load and scheduling options in college,1,1,Are you allowed to take one class per semester
Submitting a SAP appeal form,1,1,How do i complete the satisfactory academic progress appeal form
Updating phone number for password reset,1,1,Need to add a phone number to reset password
Obtaining and accessing progress reports,1,1,Where is my progress report
Resetting WiFi password,1,1,Resetting password for wifi
Accessing student email for the first time,1,1,How do i access my student email as a first time student
STEM designation for MBA programs,1,1,Is your mba program stem designated
Connecting to WiFi in dormitories or residence halls,1,1,How do i connect to the wifi as a freshman
Annual fees for international students,1,1,What is teh yearly fees for international students
Undergraduate admission requirements,1,1,Give me undergraduation admission requirement
Outlook login,1,1,Log into outlook
Transferring out of a university,1,1,Transferring out of the school
Tuition rates for online summer courses,1,1,Curious about summer 2024 tuition for one online class
Fully funded scholarships for master's programs,1,1,Can i get a fully funded scholarship here in stjohn to pursue my masters degree
Availability of veterinary technology programs,1,1,Do you guys have vet tech
Campus closure,1,1,The campus still open or on vacation
Website addresses/URLs,1,1,What is that web address
Contacting the international student admissions office,1,1,International student admissions phone number
Checking enrollment for upcoming semesters,1,1,How can i check if in enrolled in a semester
Applying for a radiology program,1,1,Hi i need information when is the next opening for radiology
Obtaining an employment letter,1,1,How do i get an employment letter
Tuition fees for undergraduate and graduate programs in computer science,1,1,Could you tell me what is the tusion fees for undergraduate in computer science
Accessing and logging into Canvas,1,1,Get to my cnavas page
Deadline for submitting documents,1,1,Document deadline
Contacting the purchasing department,1,1,Hi i need an email address for the purchasing department
Audiology education and degree programs,1,1,Information on audiology
Scheduling academic advising appointments,1,1,Academic advisement appointment
Filling out an immunization form,1,1,Plete how do i complete the immunization form
High school students and their concerns,1,1,Im a high school student going into my last year
Acceptance of Duolingo score for language proficiency,1,1,Accepted score for duolingo
Club ice hockey team availability,1,1,Do you have an ice hockey club sport
Communications program and degree information,1,1,I would like to know more about your communications program if you have one
Course requirements for an associate's degree,1,1,Is there a list of courses you need to take to get an associate of science degree
Colleges and schools offering computer science programs,1,1,Which schools teaches computer science
Tuition for certificate programs,1,1,International student fees per certificate
Not receiving a diploma after graduation,1,1,Graduated and never received diploma
Requirements for applying to a medicine program,1,1,I was wondering what are the stats needed to apply for medicine
Self-identity and self-awareness,1,1,Who am i
Locating course details,1,1,Where can i find course details
Summer course catalog availability,1,1,Course catalog for summer courses
Contacting career services or career center,1,1,What is the phone number to career services
Online new student orientation,1,1,How do i access new student online orientation
RN programs and options for transitioning from LVN to RN,1,1,Rn programs
Academic and career pursuits,1,1,Academic career opportunities
Resetting Okta account password,1,1,I need my okta reset
Availability of cosmetology program,1,1,Do you offer cosmetology
ACH payments and methods,1,1,What is ach payment
New student deposit amount,1,1,How much is the deposit for acceptance student
Customer service,1,1,Costumer service
Requesting transcripts for transfer,1,1,Transcript request to transfer school
Requesting an enrollment verification letter,1,1,How can i obtain a enrollment verification letter
Nursing Major Tuition Costs,1,1,How much is tution for nursing
Graduate admission decisions,1,1,Graduate admission decisions
Undergraduate Application Process,1,1,Plication process for undergraduate degree
Technical support for technical issues,1,1,What number should i call for technical difficulties
Learning and improving singing skills,1,1,Hi i need help with sing in
Basketball games and streaming options,1,1,Basketball game
Locating the public safety department,1,1,Where is department of public safety
Obtaining a copy of a diploma,1,1,Copy of diplomaget
Trouble resetting a forgotten password,1,1,I forgot password and its not reseting
Winter 2023 registration and session,1,1,Winter session 2024
Enrollment history and dates,1,1,It said that i enrolled before 1990
Dates in May,1,1,What day of may
Housing options for transfer students,1,1,Can a student transfer from another college and live on campus
Financial aid options for graduate students,1,1,Types of graduate aid
Submitting a resume,1,1,Submit a resume
Availability of badminton facilities or clubs,1,1,Do you have badminton
Deadline for accepting federal student loans,1,1,When is the deadline to accept student loans for the 20242025 school year
Login assistance,1,1,Log in assitance
Sexual harassment and teacher harassment,1,1,Sexual harassment
Transfer credit equivalency,1,1,Transfer credit equivalency
Not receiving an acceptance letter or offer letter,1,1,I got my acceptance through an email but i didnt get it through the mail
Payment schedule and payment plan updates,1,1,When will my payment plan go through
Obtaining a registration time ticket,1,1,How do i get a registration time ticket
Assistance with accessing an online portal,1,1,I need help with unlocking my signs portal
Finding and obtaining books from the library,1,1,How to take book from library
Part-time tuition cost,1,1,Parttime tuition
Statement of purpose and related topics,1,1,Statement of purpose
Legitimacy of emails,1,1,Is this a valid email
Tuition for accounting programs,1,1,Accounting tuition
St. John's clothing and online store,1,1,Does st johns have an online store
Opening a bank account as an international student,1,1,I want to open a bank account as an international student
Summer internships for college students,1,1,In which program is the summer internships available
Tuition fees for an associate's degree,1,1,How much would tuition be to get an aa degree
Availability of CA courses,1,1,Are you offer ca course
Faculty employment and career opportunities,1,1,Faculty employments
Graduate student housing,1,1,Housing for graduate students on manhattan campus
Early childhood education major and related questions,1,1,Can you tell me about the childhood education major
Men's Basketball Schedule Inquiry,1,1,M looking for the mens basketball schedulei
Trouble with filling out application forms,1,1,Please i have an issue filling my form i dont know if you can help out
GPA requirements for pharmacy programs,1,1,Gpa for pharmacy
Spring semester courses,1,1,Spring classes
Obtaining an ID number for admission,1,1,I dont have access to my letter of acceptance how can i get my x number
Contacting customer support,1,1,Contact support
Full scholarships for international students,1,1,Can international student get full scholorships
Contacting a guidance counselor,1,1,Where can i go for a guidance counselor
Jewelry making classes,1,1,Hi do you have jewelry making cours
Downloading documents,1,1,Where should i download my documents
SAT scores,1,1,Sat scores code
Information and questions about the 1098T form,1,1,1098 information
Contacting via Gmail,1,1,Can i get in touch with gmail
Physical therapy courses and availability,1,1,Do you have a physical therapy course
Requesting and obtaining a transcript form,1,1,I need the transcript request form
Academic Leave of Absence,1,1,What is academic leave of absence
Computer science programs,1,1,Do you guys have a computer science progaram
Updating and editing a job or school application,1,1,How can i make an application change request
Transferring into the nursing program,1,1,Information about nursing program transfer student
Downloading a transcript request form,1,1,How to download my transcript request form
Contacting the alumni office,1,1,Please connect me with alumni office
Tuition at the Queens campus,1,1,How much does graduate accommodation cost at queens
Resetting login information,1,1,Reset login
Reasons for high tuition costs,1,1,Why is the total cost of attendance that much
Specific dates for submitting or obtaining the 1098T form,1,1,I need the exact date please
LLM (Master of Laws) program and related topics,1,1,Llm
Pursuing a master's degree in real estate,1,1,Can i study masters in real estate
Ordering transcripts through Parchment,1,1,Im trying to order on parchment but it wont let me put the state in is there anyone i can speak to
Financial aid for international students,1,1,Financial aid for international applicant
Finding and obtaining a temporary password,1,1,I need help finding out my temporary password
Purchasing tickets online,1,1,Can i buy tickets in person
Forgetting security questions and answers,1,1,I forgot challenge question
Submitting SAT scores for college applications,1,1,If i submitted my sat score through common app did i have to submit it again through college board
Contacting or speaking to a coach,1,1,How do i contact a coach
Forgot password and security questions,1,1,I dont remember my password or security question answer
Finding and accessing the library,1,1,How ddo i get to the library
Email formatting,1,1,Whats the format for the email
Counseling Center Website Information,1,1,What is the counseling center website
Last day to add a class,1,1,When is the last day to add classes
Payment for intent to enroll,1,1,When do i have to pay to secure my enrollment
Graduate Admission Transcript Requirements,1,1,Transcript requirement for graduate programs
Mailing transcripts,1,1,Addressing an envelope to request a transcript
Hang-up issues with phone calls,1,1,They hung up on me too
Contacting the finance office,1,1,Contact finance department
Technology and computer resources for students,1,1,Computers offered for rent by the school for students
Trouble accessing or opening a transcript,1,1,I dont see the transcript
Categorization of psychology within educational institutions,1,1,What school is psychology in
Women's volleyball schedule,1,1,Women volleyball schedule
Sign language classes,1,1,What sign language classes do they offer
Fall graduation ceremonies,1,1,Is the graduation in the fall
Workshop locations,1,1,When and where are the workshops held
Contacting facilities management,1,1,Facilities email
Contacting someone about tuition,1,1,I would like to speak to someone about my sons tuition
Submitting IB results and predicted scores,1,1,Where do i submit my ib scores
Finding a romantic partner or girlfriend,1,1,I just need a freind
Obtaining a replacement diploma,1,1,I need a replacement diploma
Adding email to Gmail app,1,1,How do i put my email into my gmail app
Sending SAT scores via email,1,1,What email should i send my score report to
Changing name on a web portal,1,1,How to update my name on portal
Tutoring Enrollment Requirements,1,1,Do i have to do anything to get a tutor asides from signing up
Obtaining transcripts from 2004,1,1,I need an official transcript from when i attended in 2004 can you assist me
Difficulty reaching someone via phone or encountering voicemail,1,1,I called that number and it went to voicemail
Contacting the alumni office,1,1,Office of alumni relations
Funding for PhD programs,1,1,Are phd programs funded
Freshman admission rate and statistics,1,1,Hi what is the 6 year grad rate for freshmen
Issues with logging into a university account for the first time,1,1,I cant log in no matter what i do this is my first time logging in as a new student
Setting up security questions,1,1,I dont have security questions set up
Number of clubs available or offered,1,1,How many clubs
Citizenship and immigration verification,1,1,Verify citizenship
Room cancellation and refund policies,1,1,Room deposit refund
Applying without English language proficiency,1,1,Actually can i apply without english proficiency
Registrar information and questions,1,1,How do i find registraton informtion
Finding quiet study spaces on campus,1,1,Where is the quiet study room located on campus
Final exams and end of semester schedule,1,1,When does it close this semester
Average tuition fees per year,1,1,Whats the average yearly tuition
Undergraduate tuition fees and costs,1,1,How much tuition undergraduate program
Summer school and summer session planning,1,1,Are there already some information about the summer school 2024
Qualifications and requirements for alumni status,1,1,Whats the requirement for alumni to get into the programs
Tuition cost for a history master's degree program,1,1,What is fee for ma in history
Mandatory religion courses,1,1,What religious classes are required
Finding and accessing an online catalog,1,1,Where is your online catalog
Obtaining and providing insurance,1,1,I need insurance
Cost of dorms per semester,1,1,How much is dorming a semster
Shuttle services on and around campus,1,1,Is there a school shuttle bus
Psychiatry programs at St. John's University,1,1,Programs for psychiatry
English language test requirements for Indian students,1,1,Types of english tests required
Purchasing Class Books,1,1,Where do i obtain my class books
Application timeline for MBA programs,1,1,When can i apply for mba program for fall 2024
Paying off an outstanding bill,1,1,I want to pay an outstanding bill
Applying for the spring semester of a specific year,1,1,Can i apply for the 2025 spring semester
Athletic facilities and sports facilities,1,1,Is there a athletic facility here
Volleyball,1,1,Volleyball
Troubleshooting login issues,1,1,Why is it saying unable to sign in
Trouble accessing or viewing an application form,1,1,Am having problem accessing my application form
Accessing research databases,1,1,Is there a research database
Written communication or correspondence,1,1,Letters
Campus visit dates and availability,1,1,When are campus visiting days
GED classes and courses,1,1,Ged classes
Finding and connecting with alumni,1,1,Find an alumnus
Federal work study eligibility,1,1,How do i know if i qualify for federal college work study
Deadlines for applying to PhD programs in psychology,1,1,Phd program in clinical psychology deadline
Applying to multiple graduate programs,1,1,Can i apply to more than one graduate program at a time
Graduate degree requirements,1,1,I have a question about graduate application requirements
Undergraduate open house events,1,1,Open house for graduate students
Contacting the cashier office,1,1,May i please have the number to the cashier office
Accessing online classes or courses,1,1,Access online class
Nontraditional students,1,1,Nontraditional student
Mailing address for packages,1,1,How do i find out the address to send packages to
Availability of track and field programs,1,1,Is there a mens track and field program
Credit hour requirements for College of Pharmacy and Health Sciences,1,1,How many credits is needed for college of pharmacy and health sciences
Online education or online learning,1,1,Is online school an option here
Freshman arrival dates,1,1,When is arrival date for freshman
Dealing with the death of a student,1,1,Death of a former student
Understanding registration holds,1,1,Whats a registration hold
Move-in day check-in for housing,1,1,When is check in for housing
Accessing the student portal for admitted/accepted students,1,1,How do i sign into the portal if i just got accepted
Accessing the course catalog,1,1,How can i access the course catalog
Program start date,1,1,When does the program start
Lockout duration for password protection,1,1,How long is the lockout wait
Contacting someone about graduation,1,1,I would like to speak to some one regarding the recent graduation
College class schedules and days of the week,1,1,Monday tuesday wednesday thursday and friday
Applying for a Masters in Engineering,1,1,I am looking to do a masters in engineering
Soccer camp information,1,1,Soccer id camp
Curriculum Vitae (CV) and CVV,1,1,I would like to send a cv
Start date of the school year in August,1,1,When does school start in august or september
Difficulty changing or updating phone number,1,1,I changed my number recently but i cant log in now because its asking my for my old number to log in
Finding the address for GPS navigation,1,1,What would be the address for my gps
Adjusting payment plans for classes,1,1,Who do i talk to to change my payment plan
College fairs,1,1,College fair at my school
Accessing a portal without a temporary pin,1,1,I have not received the temporary pin for my st johns portal
Consequences and actions for missing a deadline,1,1,What do i do if i miss the deadline
Logging in as a new student,1,1,I am a new student need help with sign on
Obtaining and using an alternate PIN for class registration,1,1,What is alternate pin for registration
COVID-19 status and updates,1,1,Covid19 status
Registering for the first time,1,1,New user where to register
Creating a website,1,1,How to build a webpage
Student login information and assistance,1,1,Dont know my student account
Obtaining information about the 1098T form,1,1,Where do i find that information
Applying for a master's degree,1,1,How to apply to get your masters degree
Adding an authorized user to a student account,1,1,Add authorize user to student account
Student calendar,1,1,Student calendar
College programs in criminal justice,1,1,What college is criminal justice in
COVID-19 vaccination requirements for students,1,1,Is covid vaccination required to be on campus
Dropping all classes,1,1,I need to drop all of my classes
Requesting contact via email,1,1,My email is jonmarg86hmailcom
Requirement of SAT and ACT scores,1,1,Do you require act or sat scores
Trouble logging into Canvas and email accounts,1,1,It wont let me access my email or let me log on to my canvas
English courses and classes,1,1,Can you show me the link about this english course
Electronic official transcripts,1,1,Electronic official transcripts
GPA requirements for college programs and acceptance,1,1,What kind of gpa do i need to get into this program
Cost of paralegal certification or paralegal certificate program,1,1,Cost for para legal certification
Signing up for email communications from a specific institution or organization,1,1,I want to sign up for emails
Women's tennis team at a specific institution,1,1,Does this college have a tennis team
Renting and rentals,1,1,Rental
Masters in Physical Therapy/Physiotherapy,1,1,Masters in physiotherapy
Contacting account services via email,1,1,To whom can i send an email if i am having issues with my account
Law courses and classes,1,1,Law school exams
Trouble viewing admission status on BearTracks,1,1,How to sign in with pin to check admission status
Available activities or options for activities,1,1,What activities do you have available
Retaking a failed class,1,1,Can i retake a class if i failed once
Classroom experiences and issues,1,1,Classrooms
Financial aid package and awards,1,1,I am a current student and have question about my finanicial aid award
Advisement meetings,1,1,Advisment meeting
URLs and links for physician assistant programs,1,1,Physician assistant portal
Job opportunities for adjunct nursing faculty,1,1,I would like apply for adjunct nursing instructor
Missing items in a job or college application,1,1,Missing items in application
Annual fees for undergraduate students,1,1,What would be the per year fee for undergraduate
Merit scholarships,1,1,What does merit scholarship mean in my acceptance letter
Updating routing number for direct deposit,1,1,How can i change my routing number
Paying for a payment plan with cash,1,1,Can i pay the payment plan by cash
Trouble receiving push notifications on phone,1,1,Wont send push to my phone
Filling out a form,1,1,Where can i fill out the form
Volleyball team and program availability,1,1,Do you have a volleyball team
Pursuing a degree in forensics or related fields,1,1,Is there a forensics degree
Creating and submitting an art portfolio,1,1,Art portfolio
Seeking assistance with college or school applications,1,1,I need an application to return to school
Checking the balance and remaining swipes on a meal plan,1,1,How can i see how many super swiped i have left on my meal plan
Doctor of Pharmacy (PharmD) programs and information,1,1,Pharmd info
Buying books,1,1,Where do i buy my books
Contacting alumni relations,1,1,How do i contact alumni relations
Requesting and obtaining transcripts,1,1,I graduated in 2011 and 2012 and need my transcripts mailed i do not know or remember my log in
Application deadline for the dental hygiene program,1,1,Due date for dentistry program
Logging into a health portal,1,1,How do i sign on to health portal
